watershed,population,individual ,sex,,,,,
Pichucalco,La_Gloria,Glo-03,Female,,,,,
Pichucalco,La_Gloria,Glo-04,Female,,,,,
Pichucalco,La_Gloria,Glo-06,Female,,,,,
Pichucalco,La_Gloria,Glo-08,Female,,,,,
Pichucalco,La_Gloria,Glo-10,Female,,,,, 
Pichucalco,La_Gloria,Glo-11,Female,,,,,
Pichucalco,La_Gloria,Glo-13,Female,,,,,
Pichucalco,La_Gloria,Glo-14,Female,,,,,
Pichucalco,La_Gloria,Glo-15,Female,,,,,
Pichucalco,La_Gloria,Glo-17,Female,,,,,
Pichucalco,La_Gloria,Glo-18,Female,,,,,
Pichucalco,La_Gloria,Glo-19,Female,,,,,
Pichucalco,La_Gloria,Glo-21,Female,,,,,
Pichucalco,La_Gloria,Glo-22,Female,,,,,
Pichucalco,La_Gloria,Glo-23,Female,,,,,
Pichucalco,La_Gloria,Glo-24,Female,,,,,
Pichucalco,La_Gloria,Glo-25,Female,,,,,
Pichucalco,La_Gloria,Glo-27,Female,,,,,
Pichucalco,La_Gloria,Glo-01,Male,,,,,
Pichucalco,La_Gloria,Glo-02,Male,,,,,
Pichucalco,La_Gloria,Glo-05,Male,,,,,
Pichucalco,La_Gloria,Glo-07,Male,,,,,
Pichucalco,La_Gloria,Glo-09,Male,,,,,
Pichucalco,La_Gloria,Glo-12,Male,,,,,
Pichucalco,La_Gloria,Glo-16,Male,,,,,
Pichucalco,La_Gloria,Glo-20,Male,,,,,
Pichucalco,La_Gloria,Glo-26,Male,,,,,
Pichucalco,La_Gloria,Glo-28,Male,,,,,
Pichucalco,La_Gloria,Glo-29,Male,,,,,
Pichucalco,La_Gloria,Glo-30,Male,,,,,
Puyacatengo,La_Lluva,lal-03,Female,,,,,
Puyacatengo,La_Lluva,lal-04,Female,,,,,
Puyacatengo,La_Lluva,lal-05,Female,,,,,
Puyacatengo,La_Lluva,lal-07,Female,,,,,
Puyacatengo,La_Lluva,lal-13,Female,,,,,
Puyacatengo,La_Lluva,lal-14,Female,,,,,
Puyacatengo,La_Lluva,lal-15,Female,,,,,
Puyacatengo,La_Lluva,lal-16,Female,,,,,
Puyacatengo,La_Lluva,lal-17,Female,,,,,
Puyacatengo,La_Lluva,lal-22,Female,,,,,
Puyacatengo,La_Lluva,lal-24,Female,,,,,
Puyacatengo,La_Lluva,lal-28,Female,,,,,
Puyacatengo,La_Lluva,lal-30,Female,,,,,
Puyacatengo,La_Lluva,lal-01,Male,,,,,
Puyacatengo,La_Lluva,lal-02,Male,,,,,
Puyacatengo,La_Lluva,lal-06,Male,,,,,
Puyacatengo,La_Lluva,lal-08,Male,,,,,
Puyacatengo,La_Lluva,lal-09,Male,,,,,
Puyacatengo,La_Lluva,lal-10,Male,,,,,
Puyacatengo,La_Lluva,lal-11,Male,,,,,
Puyacatengo,La_Lluva,lal-12,Male,,,,,
Puyacatengo,La_Lluva,lal-18,Male,,,,,
Puyacatengo,La_Lluva,lal-19,Male,,,,,
Puyacatengo,La_Lluva,lal-20,Male,,,,,
Puyacatengo,La_Lluva,lal-21,Male,,,,,
Puyacatengo,La_Lluva,lal-23,Male,,,,,
Puyacatengo,La_Lluva,lal-25,Male,,,,,
Puyacatengo,La_Lluva,lal-26,Male,,,,,
Puyacatengo,La_Lluva,lal-27,Male,,,,,
Puyacatengo,La_Lluva,lal-29,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-02,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-03,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-04,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-05,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-06,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-07,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-10,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-11,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-16,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-17,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-19,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-21,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-23,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-26,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-27,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-29,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-30,Female,,,,,
Puyacatengo,Vincenta_Gaurro,VG-01,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-08,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-09,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-12,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-13,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-14,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-15,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-18,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-20,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-22,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-24,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-25,Male,,,,,
Puyacatengo,Vincenta_Gaurro,VG-28,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-02,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-03,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-04,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-05,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-06,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-07,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-08,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-09,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-10,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-11,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-12,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-13,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-14,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-15,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-16,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-17,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-18,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-19,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-20,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-21,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-22,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-23,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-24,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-25,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-26,Female,,,,,
Tacotalpa,Arroyo_Bonita,Lab-01,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-27,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-28,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-29,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-30,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-31,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-32,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-33,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-34,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-35,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-36,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-37,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-38,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-39,Male,,,,,
Tacotalpa,Arroyo_Bonita,Lab-40,NA,,,,,
Tacotalpa,El_Azufre,PS0-08,Female,,,,,
Tacotalpa,El_Azufre,PS0-09,Female,,,,,
Tacotalpa,El_Azufre,PS0-11,Female,,,,,
Tacotalpa,El_Azufre,PS0-12,Female,,,,,
Tacotalpa,El_Azufre,PS0-14,Female,,,,,
Tacotalpa,El_Azufre,PS0-15,Female,,,,,
Tacotalpa,El_Azufre,PS0-16,Female,,,,,
Tacotalpa,El_Azufre,PS0-18,Female,,,,,
Tacotalpa,El_Azufre,PS0-19,Female,,,,,
Tacotalpa,El_Azufre,PS0-20,Female,,,,,
Tacotalpa,El_Azufre,PS0-22,Female,,,,,
Tacotalpa,El_Azufre,PS0-25,Female,,,,,
Tacotalpa,El_Azufre,PS0-32,Female,,,,,
Tacotalpa,El_Azufre,PS0-33,Female,,,,,
Tacotalpa,El_Azufre,PS0-34,Female,,,,,
Tacotalpa,El_Azufre,PS0-35,Female,,,,,
Tacotalpa,El_Azufre,PS0-36,Female,,,,,
Tacotalpa,El_Azufre,PS0-01,Male,,,,,
Tacotalpa,El_Azufre,PS0-02,Male,,,,,
Tacotalpa,El_Azufre,PS0-03,Male,,,,,
Tacotalpa,El_Azufre,PS0-04,Male,,,,,
Tacotalpa,El_Azufre,PS0-05,Male,,,,,
Tacotalpa,El_Azufre,PS0-06,Male,,,,,
Tacotalpa,El_Azufre,PS0-07,Male,,,,,
Tacotalpa,El_Azufre,PS0-10,Male,,,,,
Tacotalpa,El_Azufre,PS0-13,Male,,,,,
Tacotalpa,El_Azufre,PS0-17,Male,,,,,
Tacotalpa,El_Azufre,PS0-21,Male,,,,,
Tacotalpa,El_Azufre,PS0-23,Male,,,,,
Tacotalpa,El_Azufre,PS0-24,Male,,,,,
Tacotalpa,El_Azufre,PS0-26,Male,,,,,
Tacotalpa,El_Azufre,PS0-27,Male,,,,,
Tacotalpa,El_Azufre,PS0-28,Male,,,,,
Tacotalpa,El_Azufre,PS0-29,Male,,,,,
Tacotalpa,El_Azufre,PS0-30,Male,,,,,
Tacotalpa,El_Azufre,PS0-31,Male,,,,,
Tacotalpa,El_Azufre,PS0-37,Male,,,,,
Tacotalpa,El_Azufre,PS0-38,Male,,,,,
Tacotalpa,El_Azufre,PS0-39,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-27,NA,,,,,
Ixtapangajoya,Esperanaza,Esp-28,NA,,,,,
Ixtapangajoya,Esperanaza,Esp-29,NA,,,,,
Ixtapangajoya,Esperanaza,Esp-30,NA,,,,,
Ixtapangajoya,Esperanaza,Esp-01,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-02,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-03,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-04,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-05,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-06,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-07,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-08,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-12,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-13,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-14,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-15,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-16,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-17,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-18,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-09,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-10,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-11,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-19,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-20,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-21,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-22,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-23,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-24,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-25,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-26,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-06,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-07,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-08,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-10,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-12,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-16,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-18,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-19,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-22,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-23,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-24,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-29,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-01,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-02,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-03,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-04,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-05,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-09,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-11,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-13,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-14,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-15,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-17,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-20,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-21,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-25,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-26,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-27,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-28,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-30,Male,,,,,
Pichucalco,Vet Station,VS-01,Female,,,,,
Pichucalco,Vet Station,VS-04,Female,,,,,
Pichucalco,Vet Station,VS-05,Female,,,,,
Pichucalco,Vet Station,VS-06,Female,,,,,
Pichucalco,Vet Station,VS-09,Female,,,,,
Pichucalco,Vet Station,VS-11,Female,,,,,
Pichucalco,Vet Station,VS-12,Female,,,,,
Pichucalco,Vet Station,VS-13,Female,,,,,
Pichucalco,Vet Station,VS-14,Female,,,,,
Pichucalco,Vet Station,VS-15,Female,,,,,
Pichucalco,Vet Station,VS-18,Female,,,,,
Pichucalco,Vet Station,VS-19,Female,,,,,
Pichucalco,Vet Station,VS-21,Female,,,,,
Pichucalco,Vet Station,VS-23,Female,,,,,
Pichucalco,Vet Station,VS-25,Female,,,,,
Pichucalco,Vet Station,VS-02,Male,,,,,
Pichucalco,Vet Station,VS-03,Male,,,,,
Pichucalco,Vet Station,VS-07,Male,,,,,
Pichucalco,Vet Station,VS-08,Male,,,,,
Pichucalco,Vet Station,VS-10,Male,,,,,
Pichucalco,Vet Station,VS-16,Male,,,,,
Pichucalco,Vet Station,VS-20,Male,,,,,
Pichucalco,Vet Station,VS-22,Male,,,,,
Pichucalco,Vet Station,VS-24,Male,,,,,
Pichucalco,Vet Station,VS-26,Male,,,,,
Pichucalco,Vet Station,VS-27,Male,,,,,
Pichucalco,Vet Station,VS-28,Male,,,,,
Pichucalco,Vet Station,VS-29,Male,,,,,
Pichucalco,Vet Station,VS-30,Male,,,,,
Pichucalco,Vet Station,VS-31,Male,,,,,
Pichucalco,Banos,Ban-03,Female,,,,,
Pichucalco,Banos,Ban-07,Female,,,,,
Pichucalco,Banos,Ban-08,Female,,,,,
Pichucalco,Banos,Ban-11,Female,,,,,
Pichucalco,Banos,Ban-12,Female,,,,,
Pichucalco,Banos,Ban-14,Female,,,,,
Pichucalco,Banos,Ban-15,Female,,,,,
Pichucalco,Banos,Ban-20,Female,,,,,
Pichucalco,Banos,Ban-21,Female,,,,,
Pichucalco,Banos,Ban-25,Female,,,,,
Pichucalco,Banos,Ban-26,Female,,,,,
Pichucalco,Banos,Ban-27,Female,,,,,
Pichucalco,Banos,Ban-28,Female,,,,,
Pichucalco,Banos,Ban-29,Female,,,,,
Pichucalco,Banos,Ban-30,Female,,,,,
Pichucalco,Banos,Ban-01,Male,,,,,
Pichucalco,Banos,Ban-02,Male,,,,,
Pichucalco,Banos,Ban-04,Male,,,,,
Pichucalco,Banos,Ban-05,Male,,,,,
Pichucalco,Banos,Ban-06,Male,,,,,
Pichucalco,Banos,Ban-09,Male,,,,,
Pichucalco,Banos,Ban-10,Male,,,,,
Pichucalco,Banos,Ban-13,Male,,,,,
Pichucalco,Banos,Ban-16,Male,,,,,
Pichucalco,Banos,Ban-17,Male,,,,,
Pichucalco,Banos,Ban-18,Male,,,,,
Pichucalco,Banos,Ban-19,Male,,,,,
Pichucalco,Banos,Ban-22,Male,,,,,
Pichucalco,Banos,Ban-23,Male,,,,,
Pichucalco,Banos,Ban-24,Male,,,,,