Angle ,Trait ,Watershed1,Watershed2,Combined,,
77.578,Opsins,Ixtapangajoya1,Pichucalco,Ixtapangajoya1_Pichucalco,,
64.916,Opsins,Ixtapangajoya1,Puyacatengo,Ixtapangajoya1_Puyacatengo,,
66.52,Opsins,Ixtapangajoya1,Tacotalpa,Ixtapangajoya1_Tacotalpa,,
62.624,Opsins,Pichucalco,Puyacatengo,Pichucalco_Puyacatengo,,
83.079,Opsins,Pichucalco,Tacotalpa,Pichucalco_Tacotalpa,,
68.411,Opsins,Puyacatengo,Tacotalpa,Puyacatengo_Tacotalpa,,
8.48,Tail,Ixtapangajoya1,Pichucalco,Ixtapangajoya1_Pichucalco,,
18.22,Tail,Ixtapangajoya1,Puyacatengo,Ixtapangajoya1_Puyacatengo,,
55.921,Tail,Ixtapangajoya1,Tacotalpa,Ixtapangajoya1_Tacotalpa,,
20.455,Tail,Pichucalco,Puyacatengo,Pichucalco_Puyacatengo,,
52.712,Tail,Pichucalco,Tacotalpa,Pichucalco_Tacotalpa,,
57.009,Tail,Puyacatengo,Tacotalpa,Puyacatengo_Tacotalpa,,
16.043,Belly,Ixtapangajoya1,Pichucalco,Ixtapangajoya1_Pichucalco,,
62.051,Belly,Ixtapangajoya1,Puyacatengo,Ixtapangajoya1_Puyacatengo,,
25.84,Belly,Ixtapangajoya1,Tacotalpa,Ixtapangajoya1_Tacotalpa,,
61.192,Belly,Pichucalco,Puyacatengo,Pichucalco_Puyacatengo,,
20.283,Belly,Pichucalco,Tacotalpa,Pichucalco_Tacotalpa,,
72.651,Belly,Puyacatengo,Tacotalpa,Puyacatengo_Tacotalpa,,
48.816,Head,Ixtapangajoya1,Pichucalco,Ixtapangajoya1_Pichucalco,,
94.022,Head,Ixtapangajoya1,Puyacatengo,Ixtapangajoya1_Puyacatengo,,
61.249,Head,Ixtapangajoya1,Tacotalpa,Ixtapangajoya1_Tacotalpa,,
83.079,Head,Pichucalco,Puyacatengo,Pichucalco_Puyacatengo,,
92.819,Head,Pichucalco,Tacotalpa,Pichucalco_Tacotalpa,,
132.296,Head,Puyacatengo,Tacotalpa,Puyacatengo_Tacotalpa,,
31.627,Eye,Ixtapangajoya1,Pichucalco,Ixtapangajoya1_Pichucalco,,
35.18,Eye,Ixtapangajoya1,Puyacatengo,Ixtapangajoya1_Puyacatengo,,
42.972,Eye,Ixtapangajoya1,Tacotalpa,Ixtapangajoya1_Tacotalpa,,
28.132,Eye,Pichucalco,Puyacatengo,Pichucalco_Puyacatengo,,
52.999,Eye,Pichucalco,Tacotalpa,Pichucalco_Tacotalpa,,
49.045,Eye,Puyacatengo,Tacotalpa,Puyacatengo_Tacotalpa,,